,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
288312,288313,B000ENUC3S,AN66F3Q4QNU43,Donna Speaker,0,0,5,1340496000,cherry pie larabar,"love cherry pie lara bar . best tasty bar sugar low . recomend bar diabetic low sugar , carbs 30 bar ."
431726,431727,B002TMV3CG,A3G007LQX6KGOD,SevereWX,0,0,5,1287878400,melitta coffee,"melitta cafe collection blanc et noir coffee smooth , refined armoma notice soon open package . aroma translates well throughout brewing process remains poured cup . taste , find flavor bold yet smooth , slightly dark , powerful flavor without coarseness bitterness . went directly one high-pressure coffee pod brewing system using melitta percolator , seems melitta helped find way back better cup coffee ."
110311,110312,B004867T24,A11LNY2OLQSUSV,M. Castillo,0,0,5,1331769600,great treat,girl absolutely loved tuna . heaven could n't get enough tasty treat . bit pricey since 4 cat pack went super fast giving treat
91855,91856,B004U7KPY0,A1QCYVHWO5934U,"PistolaMia ""PistolaMia""",0,0,5,1332806400,daily calming,vendor fast dependable . tea simply best way relax great tasting . highly recommend ! !
338855,338856,B000FD78R0,A30U2QQN2FFHE9,J. Amicucci,2,3,5,1271376000,best canned artichoke !,"update - 8/9/2010 < br / > lot happen couple month , last two case ordered amazon horrible . 've whole artichoke leaf several can ( small soft leaf near heart , 'm talking big tough artichoke leaf ) . brown spot many artichoke . poor quality. < br / > < br / > contacted amazon time , first time replaced case quality much better . second time asked refund two time couple month acceptable . also contacted reese direcly doubted asked `` prove '' sending two can expense . told 'd gladly send can expense , would . impression reese changed much longer buy products. < br / > < br / > original review - 've tried every brand reese , far , best ! love buy already quartered , great tossing salads. < br / > < br / > always good quality , firm , soft . consistent taste , never bad one . best price amazon , $ 1 cheaper per local grocery store ."
243608,243609,B0059X9A6I,AUDQL0QLM3Y58,chuck harris,0,0,5,1337731200,wow !,pretty much tried . dark chocolate fruit mix perfect . considered drug ..... ; )
152343,152344,B000LKZD4W,A1QGQ6BDB5PR2X,Carolyn McCray,1,1,5,1347667200,love product,"forewarned bit `` moist . '' plenty papertowels/napkins around eating it. < br / > < br / > however vegan jerky , far best texture . picking teeth hour ! , good thing ! < br / > < br / > fav bbq flavor , however flavor tasty well : - )"
336202,336203,B000BRR8VQ,A1GE2Q2WR6G9G,tech geek,0,0,5,1333497600,amazing treat great value,mixed terrier dog prefer treat others . one dog whine scratch cabinet stored wanting !
488611,488612,B004JQVAVO,A1OH8NY6IBSDJ7,J. P. Delese Jr.,1,2,1,1307059200,ca n't drink,made coffee percolator maybe wrong method compare taste regular coffee . buy .
103618,103619,B0083L5F8K,A2KXPOM62YFOBT,C. Daughtridge,0,0,5,1340582400,everything needed,"basic ingredient could found local harris teeter , kit everything needed get started making sushi ."
420252,420253,B001EPPC80,A3G7ANA9HW69M5,Ali,0,0,4,1283212800,good snak handy !,"actual biscuit ! cookie ! tried hard ship without smashing , rather good job ."
